shop_id,area,visitors1,visitors2,felon
726,2630.42,13,20,1
727,3026.91,15,13,1
728,2713.52,15,6,0
729,3310.29,15,17,0
730,3495.56,18,12,0
731,2803.52,17,19,0
732,3254.90,19,16,0
733,3069.02,14,16,1
734,2644.06,15,15,0
735,2504.93,15,23,0
736,2607.89,25,18,0
737,2453.32,14,22,0
738,2818.43,18,16,0
739,3138.31,14,17,1
740,2812.94,24,18,0
741,3395.50,20,19,0
742,2323.92,18,12,0
743,2833.70,25,18,0
744,2759.30,13,15,0
745,3105.59,10,21,1
746,2687.15,16,15,0
747,3137.94,18,14,0
748,3010.02,7,11,0
749,2661.13,19,9,0
750,3213.05,13,13,0
751,2948.13,18,19,0
752,2810.18,14,23,0
753,3156.92,22,11,0
754,3140.63,12,11,0
755,2653.84,10,10,0
756,2525.07,16,16,0
757,2993.83,11,16,0
758,2644.14,20,9,0
759,2678.59,22,20,0
760,3025.10,8,16,0
761,2440.79,11,17,0
762,2710.38,23,11,1
763,2922.26,15,18,0
764,3478.28,12,20,0
765,3370.17,13,17,0
766,2928.85,19,14,0
767,2666.22,13,17,0
768,2669.37,27,28,0
769,2745.71,9,12,0
770,2179.13,17,19,0
771,3110.51,10,18,0
772,2549.88,19,17,1
773,3185.04,19,17,0
774,3116.62,21,20,0
775,3165.37,9,8,0
776,2902.62,20,13,0
777,3161.81,16,10,0
778,2886.88,18,15,0
779,2982.93,19,14,0
780,2813.99,5,11,0
781,2805.91,18,11,1
782,2581.28,10,17,0
783,2923.09,11,29,0
784,3377.21,22,17,0
785,3102.51,11,15,1
786,2725.82,21,10,1
787,3381.65,14,17,0
788,2775.57,20,12,0
789,2920.96,16,17,0
790,2236.09,14,16,0
791,2802.36,17,9,0
792,2927.44,15,15,0
793,2571.11,23,15,0
794,2733.97,11,7,1
795,2910.78,11,18,0
796,3020.70,23,18,0
797,2622.23,18,15,0
798,3048.83,18,19,1
799,2870.55,17,12,1
800,2751.21,17,20,0
801,2688.54,17,11,0
802,3015.66,18,22,1
803,3016.38,18,18,0
804,2812.95,15,9,0
805,2977.81,18,12,0
806,3170.20,17,15,0
807,3356.31,13,14,1
808,2860.34,15,16,0
809,2784.16,14,16,0
810,2624.29,19,9,0
811,3110.12,21,20,1
812,2512.63,19,19,0
813,3306.93,13,13,0
814,2505.76,12,13,0
815,2714.75,13,17,0
816,2701.18,18,17,1
817,3039.97,10,20,1
818,3162.08,15,12,0
819,3115.76,14,12,0
820,3126.58,16,14,0
821,2524.06,15,17,0
822,3113.18,22,10,0
823,2618.21,12,9,0
824,3031.02,14,27,0
825,2948.42,24,18,0
826,3094.35,14,14,1
827,2743.40,12,15,1
828,3423.24,18,13,0
829,3214.57,17,16,0
830,2931.36,11,11,0
831,3305.06,12,16,0
832,3190.30,18,17,0
833,2882.00,18,19,0
834,3164.05,16,13,0
835,2241.47,21,15,0
836,3437.63,11,17,0
837,2876.35,17,16,1
838,3023.62,12,11,1
839,2770.64,6,27,1
840,2662.72,22,18,0
841,3035.84,18,21,0
842,2701.45,14,14,0
843,3233.74,18,15,0
844,2592.35,15,23,0
845,2903.94,7,17,0
846,2625.88,18,16,0
847,2660.66,16,12,0
848,2835.25,18,16,0
849,3378.13,17,24,0
850,2463.55,17,12,1
851,2862.39,16,17,0
852,3141.51,16,15,0
853,2820.04,10,20,0
854,3173.70,24,17,0
855,3403.58,19,11,0
856,2725.46,22,11,0
857,2540.84,10,21,0
858,2641.79,13,16,0
859,2813.28,14,13,0
860,3069.53,19,11,1
861,2699.42,19,9,0
862,3233.84,21,15,0
863,2852.87,17,9,0
864,3311.86,9,18,0
865,2946.33,19,16,0
866,3171.04,10,12,1
867,2759.01,6,13,0
868,3292.15,11,14,0
869,2454.17,15,19,1
870,2968.03,15,14,0
871,3300.70,19,15,0
872,3482.13,18,13,1
873,3193.08,20,13,0
874,2606.74,15,18,0
875,2355.97,12,18,0
876,2887.04,20,26,0
877,3410.83,19,12,1
878,2872.76,19,13,0
879,3194.41,19,12,0
880,2715.70,14,21,0
881,1931.38,13,14,0
882,2821.39,13,18,0
883,2969.46,23,13,0
884,2977.48,20,22,1
885,2679.84,18,16,0
886,2745.54,11,12,0
887,2972.75,13,14,0
888,2198.38,20,19,0
889,3117.58,13,13,0
890,2678.08,20,14,0
891,2981.02,17,17,0
892,2888.00,16,13,0
893,3188.14,16,12,0
894,2739.27,13,17,0
895,3143.79,10,25,0
896,3146.99,19,17,0
897,2843.40,16,11,0
898,2400.78,16,11,0
899,3188.89,18,14,1
900,2682.19,20,14,0
901,3129.68,14,22,1
902,2993.19,15,15,0
903,3211.00,15,21,1
904,2367.12,16,17,0
905,3122.28,12,12,0
906,2726.71,18,17,0
907,2689.09,17,17,0
908,3431.98,18,12,0
909,3533.65,17,10,1
910,3206.41,7,14,1
911,2927.82,13,19,0
912,2536.93,24,18,0
913,2513.57,23,12,0
914,2844.18,9,13,0
915,3312.13,12,24,1
916,2986.43,19,20,0
917,2723.97,16,20,1
918,2641.48,13,14,0
919,2789.90,19,11,0
920,2741.16,9,17,0
921,2682.17,16,15,0
922,3160.51,11,17,0
923,2782.18,15,14,0
924,3022.66,11,13,0
925,3632.88,16,10,0
926,3086.23,21,19,1
927,3030.29,24,10,0
928,2846.15,17,22,0
929,2921.59,17,16,0
930,2768.19,15,11,0
931,2952.00,17,17,0
932,2706.59,17,17,0
933,3050.11,15,17,0
934,2384.84,10,16,0
935,3059.90,17,18,0
936,2881.53,23,17,0
937,2936.43,16,19,0
938,2769.39,16,19,0
939,2887.98,15,22,0
940,2895.58,20,12,0
941,2674.19,13,16,0
942,2889.30,14,12,0
943,2837.24,15,9,0
944,3324.54,7,24,0
945,2350.55,7,18,0
946,2896.07,19,18,0
947,3128.59,12,16,0
948,2631.95,11,16,0
949,2162.16,20,23,1
950,2876.01,20,19,0
951,3025.05,16,16,0
952,2332.00,22,10,1
953,2833.82,17,15,0
954,2876.89,17,11,0
955,3258.51,13,18,1
956,2396.98,8,22,0
957,3152.18,12,22,0
958,2584.60,14,18,0
959,3163.94,17,16,0
960,3266.09,17,13,0
961,2725.17,10,10,0
962,2494.88,15,16,0
963,2612.69,14,17,0
964,2927.01,17,17,0
965,2941.38,17,9,1
966,2399.82,14,13,0
967,2907.73,14,19,0
968,2870.73,21,22,0
969,2290.87,15,13,0
970,2942.14,10,18,0
971,2980.32,12,20,1
972,2437.44,19,7,0
973,3122.85,13,13,0
974,2606.74,17,14,0
975,2702.80,13,21,0
976,2679.95,10,11,0
977,2816.01,19,14,1
978,3375.07,17,11,0
979,2553.55,19,21,0
980,2779.20,12,18,0
981,3049.49,18,14,0
982,2545.32,13,15,0
983,3718.94,14,14,0
984,3421.96,14,10,0
985,3175.45,28,13,0
986,3213.39,17,18,0
987,3595.88,24,10,0
988,3019.00,21,17,0
989,2762.15,20,14,0
990,3085.57,8,16,0
991,2966.16,16,22,0
992,2246.79,20,22,0
993,2665.27,15,14,0
994,3150.31,19,17,0
995,3358.60,14,10,1
996,2522.30,13,13,1
997,3243.18,17,13,0
998,3275.11,19,23,0
999,2989.04,24,11,0
1000,3338.76,16,13,0
